airport,bag_amount
OSL-CPH,4044
OSL-AGP,2140
OSL-ALC,2068
OSL-BLL,1956
OSL-SXF,1893
OSL-HEL,1715
BGO-OSL,1624
OSL-LGW,1594
OSL-AYT,1519
OSL-VNO,1401
TRD-OSL,1375
OSL-CHQ,1367
OSL-TLL,1317
OSL-KEF,1303
OSL-RIX,1298
OSL-PLQ,1290
OSL-KRK,1273
SVG-OSL,1256
OSL-GDN,1096
OSL-PRG,1089
OSL-HAM,1035
OSL-AMS,869
OSL-ARN,859
OSL-CDG,840
OSL-MUC,810
OSL-BUD,799
OSL-NCE,736
OSL-PRN,678
OSL-BCN,523
OSL-PMI,498
OSL-LPA,492
OSL-BEG,404
BGO-ALC,386
TOS-OSL,359
BOO-OSL,327
OSL-SPU,327
EVE-OSL,293
AES-OSL,287
OSL-DBV,254
MOL-OSL,194
ARN-OSL,169
CPH-OSL,162
ALC-OSL,140
OSL-FAO,118
HEL-OSL,97
LGW-OSL,91
OSL-EDI,68
BCN-OSL,67
KEF-OSL,62
ALF-OSL,62
KRS-OSL,45
EDI-OSL,36
BUD-OSL,36
HAU-OSL,30
PRG-OSL,27
CDG-OSL,27
BLL-OSL,25
AGP-OSL,13
SXF-OSL,12
OSL-BGO,7
HAM-OSL,5
VNO-OSL,5
LPA-OSL,3
OSL-BOO,3
AMS-OSL,2
LYR-OSL,2
OSL-TRD,2
PMI-OSL,2
OSL-EVE,1
OSL-KKN,1
OSL-HAU,1
OSL-TOS,1
CHQ-OSL,1
ANX-OSL,1
OSL-SVG,1
