route,people_summer,people_autumn,change_people_flat
OSL-CPH,5257,1389,3868
OSL-AGP,2782,772,2010
OSL-BLL,2542,648,1894
OSL-HEL,2229,444,1785
OSL-ALC,2688,956,1732
OSL-KEF,1693,91,1602
OSL-CHQ,1777,308,1469
OSL-PRG,1415,249,1166
OSL-AYT,1974,850,1124
OSL-VNO,1821,1007,814
OSL-PLQ,1677,863,814
OSL-GDN,1424,639,785
OSL-PRN,881,144,737
OSL-NCE,956,247,709
OSL-PMI,647,15,632
OSL-HAM,1345,721,624
OSL-TLL,1712,1129,583
OSL-CDG,1092,516,576
OSL-AMS,1129,586,543
OSL-SXF,2460,1952,508
OSL-LPA,639,275,364
OSL-ARN,1116,760,356
BGO-ALC,501,197,304
OSL-MUC,1053,782,271
OSL-RIX,1687,1519,168
OSL-KRK,1654,1487,167
ALC-OSL,182,26,156
CPH-OSL,210,70,140
OSL-SPU,425,319,106
OSL-BEG,525,439,86
ARN-OSL,219,247,-28
OSL-LGW,2072,2106,-34
OSL-BUD,1038,1168,-130
OSL-EDI,88,737,-649
